fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2012/13,All Health Authorities,All Facilities,Mastectomy,352.0,3838.0,2.1,6.0
2012/13,All Health Authorities,All Facilities,Mastoidectomy,148.0,298.0,9.9,37.2
2012/13,All Health Authorities,All Facilities,Myringotomy,572.0,1637.0,5.0,18.1
2012/13,All Health Authorities,All Facilities,Nasal Surgery,2071.0,3433.0,12.6,44.6
2012/13,All Health Authorities,All Facilities,Nerve Surgery,391.0,944.0,6.0,30.6
2012/13,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,91.0,352.0,5.1,24.0
2012/13,All Health Authorities,All Facilities,Other Ear Surgery,90.0,264.0,8.5,34.5
2012/13,All Health Authorities,All Facilities,Other Eye Surgery,1311.0,4512.0,4.1,24.6
2012/13,All Health Authorities,All Facilities,Other Joint Reconstruction,1241.0,2009.0,8.0,38.3
2012/13,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2555.0,6732.0,6.3,32.4
2012/13,All Health Authorities,All Facilities,Other Urology Surgery,1488.0,8031.0,4.0,15.1
2012/13,All Health Authorities,All Facilities,Parotidectomy,118.0,365.0,8.7,29.2
2012/13,All Health Authorities,All Facilities,Prostate Surgery,1307.0,5199.0,4.9,19.0
2012/13,All Health Authorities,All Facilities,Rectal Surgery,818.0,1605.0,8.3,37.1
2012/13,All Health Authorities,All Facilities,Rib Resection,18.0,86.0,19.9,55.8
2012/13,All Health Authorities,All Facilities,Scope of Chest,43.0,570.0,2.1,5.7
2012/13,All Health Authorities,All Facilities,Shoulder Surgery,2323.0,3406.0,11.0,39.6
2012/13,All Health Authorities,All Facilities,Shunt Insertion/Removal,,28.0,2.4,12.5
2012/13,All Health Authorities,All Facilities,Sinus Surgery,1707.0,2036.0,15.4,62.3
2012/13,All Health Authorities,All Facilities,Skin Surgery,318.0,902.0,4.0,22.6
2012/13,All Health Authorities,All Facilities,Skin Tumour Removal,701.0,2970.0,3.4,17.9
2012/13,All Health Authorities,All Facilities,Sphincterotomy,117.0,216.0,7.9,35.2
2012/13,All Health Authorities,All Facilities,Spinal/Back Surgery,1606.0,3603.0,5.9,32.0
2012/13,All Health Authorities,All Facilities,Tendon Surgery,281.0,718.0,3.9,25.6
2012/13,All Health Authorities,All Facilities,Thoracotomy,9.0,122.0,2.6,5.4
2012/13,All Health Authorities,All Facilities,Thyroidectomy,374.0,1250.0,5.4,24.0
2012/13,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1572.0,3722.0,8.7,32.0
2012/13,All Health Authorities,All Facilities,Tympanoplasty,504.0,863.0,12.1,41.4
2012/13,All Health Authorities,All Facilities,Uterine Surgery,2666.0,11823.0,5.0,22.3
2012/13,All Health Authorities,All Facilities,Vaginal Repair,672.0,1686.0,8.6,36.8
2012/13,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1657.0,1197.0,13.4,112.4
2012/13,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,160.0,665.0,3.3,16.1
2012/13,All Health Authorities,All Facilities,Vascular Surgery - Other,308.0,1701.0,2.6,12.3
2012/13,All Health Authorities,All Facilities,Wound/Laceration Care,342.0,1009.0,3.4,20.9
2013/14,All Health Authorities,All Facilities,Abdominoplasty,92.0,155.0,9.1,46.9
2013/14,All Health Authorities,All Facilities,Aortic Aneurysm Repair,54.0,419.0,3.3,13.9
2013/14,All Health Authorities,All Facilities,Appendectomy,19.0,115.0,4.6,15.1
2013/14,All Health Authorities,All Facilities,Bariatric Surgery,173.0,246.0,10.5,176.8
2013/14,All Health Authorities,All Facilities,Biopsy in OR,385.0,2512.0,2.6,11.9
2013/14,All Health Authorities,All Facilities,Bladder Surgery,1211.0,5530.0,4.0,19.7
2013/14,All Health Authorities,All Facilities,Bowel Resection,513.0,3153.0,2.9,10.1
2013/14,All Health Authorities,All Facilities,Breast Biopsy,153.0,1729.0,2.3,6.3
2013/14,All Health Authorities,All Facilities,Breast Reconstruction,587.0,1298.0,9.0,45.3
2013/14,All Health Authorities,All Facilities,Breast Reduction,1123.0,1785.0,14.1,52.3
2013/14,All Health Authorities,All Facilities,CSF Drainage,25.0,515.0,0.3,1.1
2013/14,All Health Authorities,All Facilities,Cataract Surgery,16579.0,48961.0,6.1,24.7
2013/14,All Health Authorities,All Facilities,Cholecystectomy,1621.0,5667.0,5.0,20.4
2013/14,All Health Authorities,All Facilities,Colostomy/Ileostomy,213.0,745.0,4.9,24.2
2013/14,All Health Authorities,All Facilities,Cone Biopsy,53.0,429.0,3.6,8.9
2013/14,All Health Authorities,All Facilities,Cranial Surgery,157.0,964.0,2.1,13.8
2013/14,All Health Authorities,All Facilities,Cyst/Ganglion Removal,437.0,1272.0,5.9,25.0
2013/14,All Health Authorities,All Facilities,D&C and Related Surgery,907.0,5076.0,3.4,12.9
2013/14,All Health Authorities,All Facilities,Dental Surgery,2188.0,6127.0,6.9,28.9
2013/14,All Health Authorities,All Facilities,Endarterectomy,145.0,630.0,2.9,13.4
2013/14,All Health Authorities,All Facilities,Esophagectomy,22.0,129.0,2.6,10.7
2013/14,All Health Authorities,All Facilities,Examination Under Anaesthetic,219.0,925.0,4.3,18.6
2013/14,All Health Authorities,All Facilities,Excision Gynecomastia,105.0,219.0,8.1,31.1
2013/14,All Health Authorities,All Facilities,Excision Lesion/Tumour,520.0,2398.0,3.4,15.5
2013/14,All Health Authorities,All Facilities,Facial Bone Reconstruction,180.0,763.0,5.4,22.1
2013/14,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1067.0,3746.0,5.1,20.0
2013/14,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,56.0,195.0,6.7,25.0
2013/14,All Health Authorities,All Facilities,Foot/Ankle Surgery,506.0,828.0,12.9,38.5
2013/14,All Health Authorities,All Facilities,Foreign Body Removal Surgery,43.0,254.0,2.9,15.7
2013/14,All Health Authorities,All Facilities,Fracture Repair,176.0,1163.0,0.9,12.7
2013/14,All Health Authorities,All Facilities,Free Flap Graft,24.0,119.0,3.0,12.8
2013/14,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,9.0,90.0,1.3,7.4
2013/14,All Health Authorities,All Facilities,Hand/Wrist Surgery,675.0,2206.0,6.7,28.1
2013/14,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4252.0,11549.0,7.6,30.3
2013/14,All Health Authorities,All Facilities,Hernia Repair - Hiatal,217.0,266.0,11.6,43.2
2013/14,All Health Authorities,All Facilities,Hip Replacement,2939.0,4990.0,14.7,36.9
2013/14,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,273.0,1576.0,3.6,10.9
2013/14,All Health Authorities,All Facilities,Knee - ACL Repair,800.0,1944.0,8.7,38.7
2013/14,All Health Authorities,All Facilities,Knee - Meniscectomy,692.0,2867.0,7.1,29.0
2013/14,All Health Authorities,All Facilities,Knee Arthroscopy,2693.0,5089.0,8.0,34.6
2013/14,All Health Authorities,All Facilities,Knee Replacement,5447.0,6863.0,18.4,41.1
2013/14,All Health Authorities,All Facilities,Laparoscopy,256.0,1247.0,4.9,17.7
2013/14,All Health Authorities,All Facilities,Laparotomy,64.0,342.0,3.3,15.7
2013/14,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,757.0,2556.0,4.1,20.5
2013/14,All Health Authorities,All Facilities,Ligament Surgery,48.0,137.0,5.9,30.9
2013/14,All Health Authorities,All Facilities,Lipectomy,30.0,114.0,7.0,26.1
2013/14,All Health Authorities,All Facilities,Lung Surgery,67.0,628.0,2.1,5.9
2013/14,All Health Authorities,All Facilities,Male Reproductive Surgery,745.0,2124.0,6.0,30.3
2013/14,All Health Authorities,All Facilities,Mastectomy,436.0,4062.0,2.1,6.9
2013/14,All Health Authorities,All Facilities,Mastoidectomy,157.0,317.0,11.0,34.7
2013/14,All Health Authorities,All Facilities,Myringotomy,557.0,1659.0,5.1,22.2
2013/14,All Health Authorities,All Facilities,Nasal Surgery,1782.0,3427.0,10.0,40.3
2013/14,All Health Authorities,All Facilities,Nerve Surgery,352.0,907.0,6.3,34.9
2013/14,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,97.0,369.0,5.6,24.1
2013/14,All Health Authorities,All Facilities,Other Ear Surgery,90.0,258.0,7.9,30.3
2013/14,All Health Authorities,All Facilities,Other Eye Surgery,1311.0,4318.0,5.0,26.2
2013/14,All Health Authorities,All Facilities,Other Joint Reconstruction,1071.0,2117.0,10.9,47.2
2013/14,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2317.0,6862.0,6.5,31.9
2013/14,All Health Authorities,All Facilities,Other Urology Surgery,1227.0,7201.0,3.4,13.1
2013/14,All Health Authorities,All Facilities,Parotidectomy,140.0,341.0,8.4,31.0
2013/14,All Health Authorities,All Facilities,Prostate Surgery,1162.0,5014.0,5.0,21.0
2013/14,All Health Authorities,All Facilities,Rectal Surgery,764.0,1742.0,7.7,33.1
2013/14,All Health Authorities,All Facilities,Rib Resection,9.0,37.0,5.1,26.3
2013/14,All Health Authorities,All Facilities,Scope of Chest,64.0,576.0,2.3,6.1
2013/14,All Health Authorities,All Facilities,Shoulder Surgery,2001.0,3430.0,9.7,46.0
2013/14,All Health Authorities,All Facilities,Shunt Insertion/Removal,,27.0,2.1,9.5
2013/14,All Health Authorities,All Facilities,Sinus Surgery,1155.0,1951.0,14.0,61.7
2013/14,All Health Authorities,All Facilities,Skin Surgery,289.0,910.0,5.7,28.7
2013/14,All Health Authorities,All Facilities,Skin Tumour Removal,656.0,2915.0,3.7,17.9
2013/14,All Health Authorities,All Facilities,Sphincterotomy,74.0,181.0,6.0,39.4
2013/14,All Health Authorities,All Facilities,Spinal/Back Surgery,1423.0,3462.0,8.1,32.3
2013/14,All Health Authorities,All Facilities,Tendon Surgery,252.0,757.0,4.3,25.1
2013/14,All Health Authorities,All Facilities,Thoracotomy,9.0,131.0,2.0,5.3
2013/14,All Health Authorities,All Facilities,Thyroidectomy,378.0,1296.0,6.3,25.2
2013/14,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1376.0,3641.0,9.0,30.6
2013/14,All Health Authorities,All Facilities,Tympanoplasty,387.0,815.0,10.0,60.9
2013/14,All Health Authorities,All Facilities,Uterine Surgery,2630.0,11710.0,5.3,20.7
2013/14,All Health Authorities,All Facilities,Vaginal Repair,606.0,1583.0,7.7,30.6
2013/14,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1428.0,1360.0,15.9,104.0
2013/14,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,166.0,616.0,2.9,17.8
2013/14,All Health Authorities,All Facilities,Vascular Surgery - Other,290.0,1729.0,2.3,11.0
2013/14,All Health Authorities,All Facilities,Wound/Laceration Care,263.0,972.0,3.3,20.0
2014/15,All Health Authorities,All Facilities,Abdominoplasty,58.0,162.0,15.4,39.0
2014/15,All Health Authorities,All Facilities,Aortic Aneurysm Repair,54.0,446.0,3.6,12.1
2014/15,All Health Authorities,All Facilities,Appendectomy,44.0,163.0,3.3,11.9
2014/15,All Health Authorities,All Facilities,Bariatric Surgery,68.0,363.0,6.6,69.7
2014/15,All Health Authorities,All Facilities,Biopsy in OR,345.0,2424.0,2.7,11.7
2014/15,All Health Authorities,All Facilities,Bladder Surgery,1031.0,5373.0,4.0,20.8
2014/15,All Health Authorities,All Facilities,Bowel Resection,471.0,3317.0,3.1,11.4
2014/15,All Health Authorities,All Facilities,Breast Biopsy,124.0,1619.0,2.4,6.3
2014/15,All Health Authorities,All Facilities,Breast Reconstruction,566.0,1223.0,8.1,40.0
2014/15,All Health Authorities,All Facilities,Breast Reduction,1039.0,1794.0,13.6,44.2
2014/15,All Health Authorities,All Facilities,CSF Drainage,13.0,598.0,0.1,1.0
2014/15,All Health Authorities,All Facilities,Cataract Surgery,19496.0,51223.0,9.1,32.6
2014/15,All Health Authorities,All Facilities,Cholecystectomy,1632.0,5582.0,5.6,23.6
2014/15,All Health Authorities,All Facilities,Colostomy/Ileostomy,211.0,686.0,6.0,26.9
2014/15,All Health Authorities,All Facilities,Cone Biopsy,40.0,414.0,3.4,9.5
2014/15,All Health Authorities,All Facilities,Cranial Surgery,149.0,979.0,2.3,15.6
2014/15,All Health Authorities,All Facilities,Cyst/Ganglion Removal,429.0,1233.0,6.3,25.6
2014/15,All Health Authorities,All Facilities,D&C and Related Surgery,989.0,5274.0,3.9,13.9
2014/15,All Health Authorities,All Facilities,Dental Surgery,2024.0,6297.0,7.1,29.4
2014/15,All Health Authorities,All Facilities,Endarterectomy,139.0,608.0,2.7,15.6
2014/15,All Health Authorities,All Facilities,Esophagectomy,35.0,122.0,2.9,21.6
2014/15,All Health Authorities,All Facilities,Examination Under Anaesthetic,226.0,977.0,4.1,21.9
2014/15,All Health Authorities,All Facilities,Excision Gynecomastia,76.0,200.0,9.9,33.6
2014/15,All Health Authorities,All Facilities,Excision Lesion/Tumour,506.0,2422.0,4.0,17.3
2014/15,All Health Authorities,All Facilities,Facial Bone Reconstruction,177.0,676.0,5.3,22.8
2014/15,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,965.0,3720.0,5.6,20.7
2014/15,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,54.0,157.0,8.6,30.9
2014/15,All Health Authorities,All Facilities,Foot/Ankle Surgery,395.0,850.0,12.0,39.0
2014/15,All Health Authorities,All Facilities,Foreign Body Removal Surgery,40.0,199.0,3.1,15.5
2014/15,All Health Authorities,All Facilities,Fracture Repair,142.0,1120.0,0.9,9.7
2014/15,All Health Authorities,All Facilities,Free Flap Graft,22.0,115.0,3.1,16.4
2014/15,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,7.0,94.0,1.5,10.3
2014/15,All Health Authorities,All Facilities,Hand/Wrist Surgery,673.0,2022.0,7.0,26.3
2014/15,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4265.0,11310.0,8.1,33.9
2014/15,All Health Authorities,All Facilities,Hernia Repair - Hiatal,198.0,239.0,14.7,49.1
2014/15,All Health Authorities,All Facilities,Hip Replacement,3090.0,5233.0,18.6,46.4
2014/15,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,293.0,1891.0,4.0,12.4
2014/15,All Health Authorities,All Facilities,Knee - ACL Repair,645.0,1882.0,8.4,34.3
2014/15,All Health Authorities,All Facilities,Knee - Meniscectomy,545.0,2578.0,7.4,29.6
2014/15,All Health Authorities,All Facilities,Knee Arthroscopy,2065.0,4714.0,9.6,36.0
2014/15,All Health Authorities,All Facilities,Knee Replacement,6056.0,7295.0,24.0,50.6
2014/15,All Health Authorities,All Facilities,Laparoscopy,221.0,1148.0,4.7,18.9
2014/15,All Health Authorities,All Facilities,Laparotomy,32.0,376.0,3.0,16.0
2014/15,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,915.0,2770.0,4.9,25.9
2014/15,All Health Authorities,All Facilities,Ligament Surgery,40.0,142.0,5.6,26.9
2014/15,All Health Authorities,All Facilities,Lipectomy,34.0,106.0,4.9,17.9
2014/15,All Health Authorities,All Facilities,Lung Surgery,54.0,656.0,2.1,6.2
2014/15,All Health Authorities,All Facilities,Male Reproductive Surgery,785.0,2202.0,7.3,28.0
2014/15,All Health Authorities,All Facilities,Mastectomy,361.0,4147.0,2.4,7.0
2014/15,All Health Authorities,All Facilities,Mastoidectomy,155.0,355.0,10.1,33.2
2014/15,All Health Authorities,All Facilities,Myringotomy,493.0,1533.0,5.4,20.6
2014/15,All Health Authorities,All Facilities,Nasal Surgery,1680.0,3334.0,11.0,36.8
2014/15,All Health Authorities,All Facilities,Nerve Surgery,341.0,944.0,6.1,32.1
2014/15,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,140.0,394.0,7.1,26.0
2014/15,All Health Authorities,All Facilities,Other Ear Surgery,87.0,269.0,6.7,32.8
2014/15,All Health Authorities,All Facilities,Other Eye Surgery,1458.0,4475.0,5.1,26.7
2014/15,All Health Authorities,All Facilities,Other Joint Reconstruction,1147.0,1954.0,10.6,38.7
2014/15,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2036.0,6698.0,5.7,29.4
2014/15,All Health Authorities,All Facilities,Other Urology Surgery,1216.0,6983.0,3.4,14.7
2014/15,All Health Authorities,All Facilities,Parotidectomy,185.0,351.0,10.7,36.0
2014/15,All Health Authorities,All Facilities,Prostate Surgery,1232.0,4871.0,5.0,19.9
2014/15,All Health Authorities,All Facilities,Rectal Surgery,683.0,1712.0,8.4,35.6
2014/15,All Health Authorities,All Facilities,Rib Resection,7.0,35.0,5.6,24.7
2014/15,All Health Authorities,All Facilities,Scope of Chest,67.0,627.0,2.9,7.1
2014/15,All Health Authorities,All Facilities,Shoulder Surgery,1757.0,3614.0,10.9,38.9
2014/15,All Health Authorities,All Facilities,Shunt Insertion/Removal,,23.0,1.0,4.1
2014/15,All Health Authorities,All Facilities,Sinus Surgery,1232.0,1791.0,12.4,49.2
2014/15,All Health Authorities,All Facilities,Skin Surgery,264.0,830.0,6.0,29.9
2014/15,All Health Authorities,All Facilities,Skin Tumour Removal,635.0,3144.0,3.7,16.7
2014/15,All Health Authorities,All Facilities,Sphincterotomy,38.0,169.0,6.0,33.1
2014/15,All Health Authorities,All Facilities,Spinal/Back Surgery,1571.0,3453.0,8.3,31.7
2014/15,All Health Authorities,All Facilities,Tendon Surgery,223.0,741.0,4.4,25.4
2014/15,All Health Authorities,All Facilities,Thoracotomy,12.0,105.0,2.7,7.1
2014/15,All Health Authorities,All Facilities,Thyroidectomy,426.0,1199.0,7.0,29.7
2014/15,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1382.0,3692.0,8.7,27.0
2014/15,All Health Authorities,All Facilities,Tympanoplasty,433.0,771.0,11.0,32.1
2014/15,All Health Authorities,All Facilities,Uterine Surgery,2566.0,12005.0,5.9,22.7
2014/15,All Health Authorities,All Facilities,Vaginal Repair,569.0,1482.0,8.9,34.0
2014/15,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1293.0,1399.0,16.4,66.0
2014/15,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,140.0,608.0,3.0,16.0
2014/15,All Health Authorities,All Facilities,Vascular Surgery - Other,197.0,1669.0,2.6,11.6
2014/15,All Health Authorities,All Facilities,Wound/Laceration Care,268.0,1000.0,2.8,22.0
2015/16,All Health Authorities,All Facilities,Abdominoplasty,85.0,165.0,8.7,33.9
2015/16,All Health Authorities,All Facilities,Aortic Aneurysm Repair,64.0,411.0,3.1,9.6
2015/16,All Health Authorities,All Facilities,Appendectomy,44.0,198.0,4.6,17.9
2015/16,All Health Authorities,All Facilities,Bariatric Surgery,66.0,381.0,5.9,21.1
2015/16,All Health Authorities,All Facilities,Biopsy in OR,323.0,2385.0,2.7,11.9
2015/16,All Health Authorities,All Facilities,Bladder Surgery,1094.0,5268.0,4.0,19.6
2015/16,All Health Authorities,All Facilities,Bowel Resection,459.0,3072.0,3.3,12.7
2015/16,All Health Authorities,All Facilities,Breast Biopsy,138.0,1439.0,2.7,7.0
2015/16,All Health Authorities,All Facilities,Breast Reconstruction,608.0,1103.0,8.9,41.9
2015/16,All Health Authorities,All Facilities,Breast Reduction,1177.0,1638.0,14.6,42.8
2015/16,All Health Authorities,All Facilities,CSF Drainage,20.0,636.0,0.3,1.0
2015/16,All Health Authorities,All Facilities,Cataract Surgery,20275.0,55256.0,10.4,35.3
2015/16,All Health Authorities,All Facilities,Cholecystectomy,1558.0,5351.0,6.0,24.0
2015/16,All Health Authorities,All Facilities,Colostomy/Ileostomy,222.0,747.0,7.3,27.7
2015/16,All Health Authorities,All Facilities,Cone Biopsy,50.0,407.0,3.7,11.3
2015/16,All Health Authorities,All Facilities,Cranial Surgery,184.0,1004.0,1.7,14.5
2015/16,All Health Authorities,All Facilities,Cyst/Ganglion Removal,450.0,1222.0,6.1,27.7
2015/16,All Health Authorities,All Facilities,D&C and Related Surgery,1149.0,5170.0,4.1,15.6
2015/16,All Health Authorities,All Facilities,Dental Surgery,2082.0,6109.0,7.9,28.3
2015/16,All Health Authorities,All Facilities,Endarterectomy,134.0,633.0,3.3,17.0
2015/16,All Health Authorities,All Facilities,Esophagectomy,31.0,150.0,3.1,27.2
2015/16,All Health Authorities,All Facilities,Examination Under Anaesthetic,268.0,906.0,4.9,22.6
2015/16,All Health Authorities,All Facilities,Excision Gynecomastia,103.0,156.0,7.4,33.1
2015/16,All Health Authorities,All Facilities,Excision Lesion/Tumour,535.0,2392.0,4.0,16.1
2015/16,All Health Authorities,All Facilities,Facial Bone Reconstruction,188.0,721.0,5.6,23.0
2015/16,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1226.0,3522.0,6.1,21.2
2015/16,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,59.0,173.0,7.0,28.5
2015/16,All Health Authorities,All Facilities,Foot/Ankle Surgery,482.0,906.0,10.0,36.9
2015/16,All Health Authorities,All Facilities,Foreign Body Removal Surgery,53.0,215.0,2.9,13.3
2015/16,All Health Authorities,All Facilities,Fracture Repair,153.0,1150.0,0.9,10.0
2015/16,All Health Authorities,All Facilities,Free Flap Graft,17.0,109.0,3.9,20.1
2015/16,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,17.0,109.0,1.0,5.0
2015/16,All Health Authorities,All Facilities,Hand/Wrist Surgery,708.0,1953.0,6.9,25.9
2015/16,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4180.0,11606.0,9.1,31.6
2015/16,All Health Authorities,All Facilities,Hernia Repair - Hiatal,164.0,255.0,13.1,45.3
2015/16,All Health Authorities,All Facilities,Hip Replacement,3511.0,5520.0,21.1,48.9
2015/16,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,327.0,1999.0,4.1,11.7
2015/16,All Health Authorities,All Facilities,Knee - ACL Repair,533.0,1816.0,7.0,28.1
2015/16,All Health Authorities,All Facilities,Knee - Meniscectomy,485.0,2165.0,7.0,27.9
2015/16,All Health Authorities,All Facilities,Knee Arthroscopy,1417.0,4356.0,7.3,29.9
2015/16,All Health Authorities,All Facilities,Knee Replacement,6927.0,7990.0,28.0,54.0
2015/16,All Health Authorities,All Facilities,Laparoscopy,249.0,1033.0,5.3,20.0
2015/16,All Health Authorities,All Facilities,Laparotomy,43.0,325.0,3.3,14.6
2015/16,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,936.0,2842.0,5.0,24.0
2015/16,All Health Authorities,All Facilities,Ligament Surgery,40.0,141.0,5.6,19.9
2015/16,All Health Authorities,All Facilities,Lipectomy,36.0,120.0,6.1,38.7
2015/16,All Health Authorities,All Facilities,Lung Surgery,46.0,635.0,2.0,5.4
2015/16,All Health Authorities,All Facilities,Male Reproductive Surgery,674.0,2267.0,7.1,29.0
2015/16,All Health Authorities,All Facilities,Mastectomy,430.0,4156.0,2.4,7.1
2015/16,All Health Authorities,All Facilities,Mastoidectomy,165.0,338.0,10.4,32.6
2015/16,All Health Authorities,All Facilities,Myringotomy,410.0,1606.0,5.9,20.4
2015/16,All Health Authorities,All Facilities,Nasal Surgery,1702.0,3470.0,11.9,38.4
2015/16,All Health Authorities,All Facilities,Nerve Surgery,330.0,951.0,5.7,26.3
2015/16,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,132.0,459.0,7.9,23.4
2015/16,All Health Authorities,All Facilities,Other Ear Surgery,104.0,231.0,8.1,37.0
2015/16,All Health Authorities,All Facilities,Other Eye Surgery,1452.0,4835.0,5.3,27.1
2015/16,All Health Authorities,All Facilities,Other Joint Reconstruction,1216.0,1996.0,12.0,43.9
2015/16,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2144.0,6525.0,5.9,26.9
2015/16,All Health Authorities,All Facilities,Other Urology Surgery,1127.0,6922.0,3.7,14.4
2015/16,All Health Authorities,All Facilities,Parotidectomy,193.0,375.0,11.1,44.0
2015/16,All Health Authorities,All Facilities,Prostate Surgery,1156.0,5093.0,5.0,21.0
2015/16,All Health Authorities,All Facilities,Rectal Surgery,757.0,1544.0,8.6,34.0
2015/16,All Health Authorities,All Facilities,Rib Resection,15.0,35.0,4.8,15.7
2015/16,All Health Authorities,All Facilities,Scope of Chest,69.0,554.0,2.8,7.1
2015/16,All Health Authorities,All Facilities,Shoulder Surgery,1628.0,3422.0,9.7,36.1
2015/16,All Health Authorities,All Facilities,Shunt Insertion/Removal,,25.0,2.7,7.5
2015/16,All Health Authorities,All Facilities,Sinus Surgery,1107.0,1906.0,14.5,48.9
2015/16,All Health Authorities,All Facilities,Skin Surgery,313.0,797.0,6.0,30.8
2015/16,All Health Authorities,All Facilities,Skin Tumour Removal,654.0,2876.0,3.7,17.3
2015/16,All Health Authorities,All Facilities,Sphincterotomy,56.0,107.0,5.1,24.6
2015/16,All Health Authorities,All Facilities,Spinal/Back Surgery,1531.0,3440.0,8.9,34.1
2015/16,All Health Authorities,All Facilities,Tendon Surgery,288.0,830.0,4.3,24.9
2015/16,All Health Authorities,All Facilities,Thoracotomy,20.0,129.0,2.9,8.2
2015/16,All Health Authorities,All Facilities,Thyroidectomy,483.0,1149.0,8.4,36.9
2015/16,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1334.0,3673.0,9.0,30.3
2015/16,All Health Authorities,All Facilities,Tympanoplasty,387.0,821.0,10.0,39.4
2015/16,All Health Authorities,All Facilities,Uterine Surgery,2835.0,11955.0,6.0,23.0
2015/16,All Health Authorities,All Facilities,Vaginal Repair,630.0,1490.0,9.9,34.2
2015/16,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1315.0,1342.0,18.6,69.0
2015/16,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,137.0,624.0,3.0,17.5
2015/16,All Health Authorities,All Facilities,Vascular Surgery - Other,254.0,1626.0,2.7,11.1
2015/16,All Health Authorities,All Facilities,Wound/Laceration Care,249.0,947.0,3.1,19.3
2016/17,All Health Authorities,All Facilities,Abdominoplasty,102.0,166.0,10.8,36.1
2016/17,All Health Authorities,All Facilities,Aortic Aneurysm Repair,71.0,421.0,4.0,11.3
2016/17,All Health Authorities,All Facilities,Appendectomy,48.0,189.0,5.7,17.1
2016/17,All Health Authorities,All Facilities,Bariatric Surgery,93.0,367.0,5.9,26.4
2016/17,All Health Authorities,All Facilities,Biopsy in OR,334.0,2296.0,2.9,12.1
2016/17,All Health Authorities,All Facilities,Bladder Surgery,931.0,5235.0,4.0,18.9
2016/17,All Health Authorities,All Facilities,Bowel Resection,488.0,2789.0,3.4,13.1
2016/17,All Health Authorities,All Facilities,Breast Biopsy,132.0,1528.0,2.7,6.9
2016/17,All Health Authorities,All Facilities,Breast Reconstruction,565.0,1226.0,8.9,35.3
2016/17,All Health Authorities,All Facilities,Breast Reduction,1478.0,1628.0,17.7,46.2
2016/17,All Health Authorities,All Facilities,CSF Drainage,15.0,453.0,0.4,1.6
2016/17,All Health Authorities,All Facilities,Cataract Surgery,22380.0,57613.0,10.9,36.9
2016/17,All Health Authorities,All Facilities,Cholecystectomy,1675.0,5452.0,6.4,23.3
2016/17,All Health Authorities,All Facilities,Colostomy/Ileostomy,235.0,690.0,8.0,28.9
2016/17,All Health Authorities,All Facilities,Cone Biopsy,52.0,344.0,4.6,11.8
2016/17,All Health Authorities,All Facilities,Cranial Surgery,176.0,1051.0,1.9,10.3
2016/17,All Health Authorities,All Facilities,Cyst/Ganglion Removal,426.0,1189.0,6.7,29.9
2016/17,All Health Authorities,All Facilities,D&C and Related Surgery,1223.0,5375.0,4.4,18.6
2016/17,All Health Authorities,All Facilities,Dental Surgery,2229.0,6160.0,8.6,30.1
2016/17,All Health Authorities,All Facilities,Endarterectomy,124.0,595.0,3.4,19.3
