fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2009/10,All Health Authorities,All Facilities,Skin Surgery,267.0,930.0,3.9,25.9
2009/10,All Health Authorities,All Facilities,Skin Tumour Removal,691.0,2901.0,3.4,17.3
2009/10,All Health Authorities,All Facilities,Sphincterotomy,75.0,190.0,4.0,21.6
2009/10,All Health Authorities,All Facilities,Spinal/Back Surgery,1663.0,3106.0,6.0,30.1
2009/10,All Health Authorities,All Facilities,Tendon Surgery,231.0,728.0,2.0,20.0
2009/10,All Health Authorities,All Facilities,Thoracotomy,18.0,145.0,3.1,7.1
2009/10,All Health Authorities,All Facilities,Thyroidectomy,309.0,1263.0,4.9,16.1
2009/10,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1676.0,3273.0,9.9,31.0
2009/10,All Health Authorities,All Facilities,Tympanoplasty,513.0,720.0,12.0,50.0
2009/10,All Health Authorities,All Facilities,Uterine Surgery,2772.0,11982.0,5.0,17.7
2009/10,All Health Authorities,All Facilities,Vaginal Repair,650.0,1588.0,8.1,32.2
2009/10,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1701.0,1169.0,10.0,58.9
2009/10,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,204.0,677.0,4.0,17.5
2009/10,All Health Authorities,All Facilities,Vascular Surgery - Other,301.0,1515.0,2.3,12.6
2009/10,All Health Authorities,All Facilities,Wound/Laceration Care,318.0,1118.0,2.3,18.4
2010/11,All Health Authorities,All Facilities,Abdominoplasty,63.0,92.0,8.9,51.6
2010/11,All Health Authorities,All Facilities,Aortic Aneurysm Repair,71.0,388.0,3.9,16.0
2010/11,All Health Authorities,All Facilities,Appendectomy,22.0,106.0,3.2,15.5
2010/11,All Health Authorities,All Facilities,Bariatric Surgery,489.0,142.0,9.9,143.9
2010/11,All Health Authorities,All Facilities,Biopsy in OR,454.0,2889.0,2.9,11.9
2010/11,All Health Authorities,All Facilities,Bladder Surgery,1529.0,6178.0,4.3,25.9
2010/11,All Health Authorities,All Facilities,Bowel Resection,404.0,2700.0,2.7,10.0
2010/11,All Health Authorities,All Facilities,Breast Biopsy,200.0,2353.0,2.6,6.4
2010/11,All Health Authorities,All Facilities,Breast Reconstruction,592.0,1150.0,5.0,29.1
2010/11,All Health Authorities,All Facilities,Breast Reduction,1254.0,2031.0,13.7,53.7
