fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2019/20,Vancouver Island,All Facilities,All Procedures,19657.0,49180.0,7.9,32.4
2020/21,Fraser,All Facilities,All Procedures,24577.0,62037.0,6.7,40.9
2020/21,Interior,All Facilities,All Procedures,14346.0,43320.0,8.0,37.9
2020/21,Northern,All Facilities,All Procedures,5463.0,13049.0,6.7,29.4
2020/21,Provincial Health Services Authority,All Facilities,All Procedures,2362.0,9354.0,5.1,26.6
2020/21,Vancouver Coastal,All Facilities,All Procedures,20850.0,58753.0,5.6,37.9
2020/21,Vancouver Island,All Facilities,All Procedures,16261.0,49096.0,7.0,40.6
2021/22,Fraser,All Facilities,All Procedures,23806.0,70010.0,5.9,31.4
2021/22,Interior,All Facilities,All Procedures,17507.0,44658.0,6.0,26.0
2021/22,Northern,All Facilities,All Procedures,6589.0,13708.0,7.4,27.0
2021/22,Provincial Health Services Authority,All Facilities,All Procedures,3771.0,9761.0,4.9,22.6
2021/22,Vancouver Coastal,All Facilities,All Procedures,20845.0,63034.0,5.3,29.3
2021/22,Vancouver Island,All Facilities,All Procedures,17467.0,53546.0,6.0,28.1
2022/23,Fraser,All Facilities,All Procedures,21779.0,74780.0,5.9,28.1
2022/23,Interior,All Facilities,All Procedures,15973.0,50514.0,7.7,32.1
2022/23,Northern,All Facilities,All Procedures,7255.0,14749.0,7.7,36.9
2022/23,Provincial Health Services Authority,All Facilities,All Procedures,4460.0,10481.0,7.1,33.1
2022/23,Vancouver Coastal,All Facilities,All Procedures,23549.0,63502.0,5.9,30.3
2022/23,Vancouver Island,All Facilities,All Procedures,18300.0,53506.0,7.0,29.3
2023/24,Fraser,All Facilities,All Procedures,22557.0,76442.0,5.3,26.6
2023/24,Interior,All Facilities,All Procedures,17686.0,52266.0,7.3,29.4
2023/24,Northern,All Facilities,All Procedures,7609.0,15596.0,8.9,42.7
2023/24,Provincial Health Services Authority,All Facilities,All Procedures,4558.0,12182.0,7.3,37.3
2023/24,Vancouver Coastal,All Facilities,All Procedures,23256.0,66972.0,5.8,30.7
2023/24,Vancouver Island,All Facilities,All Procedures,21380.0,54319.0,7.3,30.4
2024/25,Fraser,All Facilities,All Procedures,23414.0,79001.0,5.3,27.6
2024/25,Interior,All Facilities,All Procedures,17662.0,54863.0,7.0,32.0
2024/25,Northern,All Facilities,All Procedures,5952.0,17240.0,9.3,42.4
2024/25,Provincial Health Services Authority,All Facilities,All Procedures,4775.0,12859.0,7.0,29.9
2024/25,Vancouver Coastal,All Facilities,All Procedures,21918.0,67970.0,5.3,28.6
2024/25,Vancouver Island,All Facilities,All Procedures,21855.0,57295.0,7.9,32.6
