fiscal_year,quarter,health_authority,hospital_name,procedure_group,waiting,completed,percentile_comp_50th,percentile_comp_90th
2025/26,Q1,All Health Authorities,All Facilities,Abdominoplasty,86.0,63.0,7.3,29.0
2025/26,Q1,All Health Authorities,All Facilities,All Other Procedures,2309.0,2454.0,4.7,22.0
2025/26,Q1,All Health Authorities,All Facilities,All Procedures,92443.0,76301.0,6.0,30.7
2025/26,Q1,All Health Authorities,All Facilities,Aortic Aneurysm Repair,56.0,134.0,3.3,11.1
2025/26,Q1,All Health Authorities,All Facilities,Appendectomy,71.0,100.0,6.0,16.2
2025/26,Q1,All Health Authorities,All Facilities,Bariatric Surgery,104.0,111.0,6.3,35.6
2025/26,Q1,All Health Authorities,All Facilities,Biopsy in OR,360.0,569.0,2.4,9.1
2025/26,Q1,All Health Authorities,All Facilities,Bladder Surgery,898.0,1389.0,4.0,15.6
2025/26,Q1,All Health Authorities,All Facilities,Bowel Resection,359.0,679.0,3.0,10.1
2025/26,Q1,All Health Authorities,All Facilities,Breast Biopsy,118.0,319.0,3.0,8.0
2025/26,Q1,All Health Authorities,All Facilities,Breast Reconstruction,394.0,350.0,4.4,35.2
2025/26,Q1,All Health Authorities,All Facilities,Breast Reduction,1781.0,691.0,10.1,49.0
2025/26,Q1,All Health Authorities,All Facilities,CSF Drainage,29.0,48.0,0.9,5.5
2025/26,Q1,All Health Authorities,All Facilities,Cataract Surgery,16748.0,21288.0,5.0,21.7
2025/26,Q1,All Health Authorities,All Facilities,Cholecystectomy,1240.0,1414.0,5.3,20.7
2025/26,Q1,All Health Authorities,All Facilities,Colostomy/Ileostomy,163.0,172.0,5.1,25.2
2025/26,Q1,All Health Authorities,All Facilities,Cone Biopsy,60.0,129.0,3.9,10.9
2025/26,Q1,All Health Authorities,All Facilities,Cranial Surgery,169.0,299.0,2.6,15.5
2025/26,Q1,All Health Authorities,All Facilities,Cyst/Ganglion Removal,307.0,253.0,6.9,25.5
2025/26,Q1,All Health Authorities,All Facilities,D&C and Related Surgery,1090.0,1453.0,4.1,16.3
2025/26,Q1,All Health Authorities,All Facilities,Dental Surgery,3588.0,2077.0,9.0,38.2
2025/26,Q1,All Health Authorities,All Facilities,Endarterectomy,80.0,200.0,2.3,6.3
2025/26,Q1,All Health Authorities,All Facilities,Esophagectomy,33.0,39.0,3.7,18.9
2025/26,Q1,All Health Authorities,All Facilities,Examination Under Anaesthetic,427.0,400.0,5.3,21.2
2025/26,Q1,All Health Authorities,All Facilities,Excision Gynecomastia,60.0,34.0,18.9,43.5
2025/26,Q1,All Health Authorities,All Facilities,Excision Lesion/Tumour,979.0,1044.0,4.9,18.1
2025/26,Q1,All Health Authorities,All Facilities,Facial Bone Reconstruction,314.0,202.0,10.4,39.6
2025/26,Q1,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1172.0,888.0,8.4,32.5
2025/26,Q1,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,101.0,86.0,6.7,34.5
2025/26,Q1,All Health Authorities,All Facilities,Foot/Ankle Surgery,475.0,189.0,18.0,49.1
2025/26,Q1,All Health Authorities,All Facilities,Foreign Body Removal Surgery,51.0,63.0,3.1,7.7
2025/26,Q1,All Health Authorities,All Facilities,Fracture Repair,204.0,497.0,0.9,8.6
2025/26,Q1,All Health Authorities,All Facilities,Free Flap Graft,59.0,62.0,3.6,26.3
2025/26,Q1,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,31.0,19.0,1.7,8.2
2025/26,Q1,All Health Authorities,All Facilities,Hand/Wrist Surgery,503.0,492.0,5.0,24.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4466.0,3586.0,8.1,32.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Hiatal,201.0,115.0,12.9,33.1
2025/26,Q1,All Health Authorities,All Facilities,Hip Replacement,5077.0,2288.0,19.0,51.3
2025/26,Q1,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,526.0,799.0,4.1,12.9
2025/26,Q1,All Health Authorities,All Facilities,Knee - ACL Repair,1071.0,627.0,8.0,27.9
2025/26,Q1,All Health Authorities,All Facilities,Knee - Meniscectomy,591.0,451.0,8.4,30.9
2025/26,Q1,All Health Authorities,All Facilities,Knee Arthroscopy,850.0,626.0,7.0,26.1
2025/26,Q1,All Health Authorities,All Facilities,Knee Replacement,9707.0,3400.0,21.7,54.9
2025/26,Q1,All Health Authorities,All Facilities,Laparoscopy,216.0,221.0,4.6,22.4
2025/26,Q1,All Health Authorities,All Facilities,Laparotomy,46.0,47.0,2.7,19.0
2025/26,Q1,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,1374.0,1166.0,4.6,31.8
2025/26,Q1,All Health Authorities,All Facilities,Ligament Surgery,89.0,95.0,3.9,34.4
2025/26,Q1,All Health Authorities,All Facilities,Lipectomy,99.0,25.0,11.7,78.9
2025/26,Q1,All Health Authorities,All Facilities,Lung Surgery,80.0,209.0,2.0,14.6
2025/26,Q1,All Health Authorities,All Facilities,Male Reproductive Surgery,963.0,581.0,9.3,37.1
2025/26,Q1,All Health Authorities,All Facilities,Mastectomy,437.0,1213.0,2.9,6.1
2025/26,Q1,All Health Authorities,All Facilities,Mastoidectomy,156.0,67.0,13.1,54.0
2025/26,Q1,All Health Authorities,All Facilities,Myringotomy,437.0,315.0,7.4,27.1
2025/26,Q1,All Health Authorities,All Facilities,Nasal Surgery,3448.0,1045.0,22.1,55.9
2025/26,Q1,All Health Authorities,All Facilities,Nerve Surgery,358.0,283.0,5.3,21.1
2025/26,Q1,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,167.0,114.0,8.4,28.8
2025/26,Q1,All Health Authorities,All Facilities,Other Ear Surgery,273.0,85.0,10.3,56.4
2025/26,Q1,All Health Authorities,All Facilities,Other Eye Surgery,2308.0,1937.0,5.0,31.0
2025/26,Q1,All Health Authorities,All Facilities,Other Joint Reconstruction,1571.0,685.0,11.0,44.9
2025/26,Q1,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2270.0,1858.0,6.7,32.0
2025/26,Q1,All Health Authorities,All Facilities,Other Urology Surgery,1112.0,1558.0,4.4,17.6
2025/26,Q1,All Health Authorities,All Facilities,Parotidectomy,207.0,113.0,9.7,47.2
2025/26,Q1,All Health Authorities,All Facilities,Prostate Surgery,1662.0,1644.0,6.0,21.0
2025/26,Q1,All Health Authorities,All Facilities,Rectal Surgery,608.0,514.0,5.6,32.2
2025/26,Q1,All Health Authorities,All Facilities,Rib Resection,31.0,10.0,6.5,10.8
2025/26,Q1,All Health Authorities,All Facilities,Scope of Chest,90.0,121.0,4.0,9.7
2025/26,Q1,All Health Authorities,All Facilities,Shoulder Surgery,1976.0,942.0,10.9,43.5
2025/26,Q1,All Health Authorities,All Facilities,Shunt Insertion/Removal,,11.0,1.7,4.6
2025/26,Q1,All Health Authorities,All Facilities,Sinus Surgery,1669.0,521.0,18.9,62.6
2025/26,Q1,All Health Authorities,All Facilities,Skin Surgery,460.0,330.0,5.3,27.1
2025/26,Q1,All Health Authorities,All Facilities,Skin Tumour Removal,959.0,1273.0,3.7,26.8
2025/26,Q1,All Health Authorities,All Facilities,Sphincterotomy,19.0,19.0,7.0,42.3
2025/26,Q1,All Health Authorities,All Facilities,Spinal/Back Surgery,1608.0,1060.0,5.0,21.6
2025/26,Q1,All Health Authorities,All Facilities,Tendon Surgery,287.0,259.0,3.7,17.6
2025/26,Q1,All Health Authorities,All Facilities,Thoracotomy,27.0,45.0,3.1,25.5
2025/26,Q1,All Health Authorities,All Facilities,Thyroidectomy,397.0,334.0,5.1,27.1
2025/26,Q1,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,2240.0,952.0,14.3,51.1
2025/26,Q1,All Health Authorities,All Facilities,Tympanoplasty,531.0,183.0,18.6,64.6
2025/26,Q1,All Health Authorities,All Facilities,Uterine Surgery,4571.0,4455.0,7.1,29.9
2025/26,Q1,All Health Authorities,All Facilities,Vaginal Repair,671.0,397.0,10.6,42.3
2025/26,Q1,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1484.0,534.0,20.4,54.1
2025/26,Q1,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,64.0,136.0,3.2,8.6
2025/26,Q1,All Health Authorities,All Facilities,Vascular Surgery - Other,274.0,477.0,2.0,9.3
2025/26,Q1,All Health Authorities,All Facilities,Wound/Laceration Care,294.0,368.0,3.2,20.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Abdominoplasty,15.0,8.0,27.7,32.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Other Procedures,33.0,39.0,2.6,6.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Procedures,2901.0,1613.0,7.0,37.0
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Aortic Aneurysm Repair,6.0,20.0,4.6,11.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Biopsy in OR,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,65.0,48.0,12.9,44.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bowel Resection,10.0,18.0,2.9,6.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Biopsy,16.0,48.0,3.5,6.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reconstruction,14.0,16.0,14.5,28.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reduction,117.0,56.0,11.4,37.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cholecystectomy,49.0,58.0,4.4,15.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Colostomy/Ileostomy,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cone Biopsy,,0.0,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cyst/Ganglion Removal,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,D&C and Related Surgery,49.0,42.0,12.1,31.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Dental Surgery,62.0,38.0,8.2,21.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Endarterectomy,15.0,38.0,1.4,6.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Examination Under Anaesthetic,,13.0,6.9,18.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Gynecomastia,8.0,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Lesion/Tumour,58.0,17.0,8.6,32.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Facial Bone Reconstruction,5.0,6.0,12.0,15.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fallopian Tube/Ovarian Surgery,104.0,27.0,25.0,36.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fistula Repair - Non Vascular,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Foot/Ankle Surgery,44.0,21.0,36.0,41.7
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fracture Repair,6.0,28.0,0.3,3.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hand/Wrist Surgery,14.0,14.0,6.0,15.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hernia Repair - Abdominal,137.0,126.0,5.0,19.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hip Replacement,147.0,43.0,30.3,56.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Kidney/Bladder Stone Removal,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - ACL Repair,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - Meniscectomy,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Replacement,384.0,57.0,41.9,57.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparoscopy,17.0,18.0,5.9,32.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparotomy,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Ligament Surgery,7.0,7.0,5.1,26.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Male Reproductive Surgery,54.0,21.0,20.3,45.0
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Mastectomy,9.0,42.0,2.7,4.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Myringotomy,,17.0,4.0,13.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nasal Surgery,181.0,56.0,22.1,33.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Eye Surgery,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Joint Reconstruction,59.0,9.0,8.3,25.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Orthopaedic Surgery,33.0,31.0,3.0,37.4
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Urology Surgery,63.0,59.0,4.4,30.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Parotidectomy,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Prostate Surgery,119.0,65.0,9.9,18.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Rectal Surgery,16.0,7.0,3.4,10.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Shoulder Surgery,45.0,26.0,13.6,30.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sinus Surgery,21.0,11.0,10.9,28.0
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Surgery,24.0,21.0,4.0,27.0
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Tumour Removal,34.0,28.0,4.9,20.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sphincterotomy,,,,
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tendon Surgery,6.0,9.0,0.7,15.9
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Thyroidectomy,5.0,17.0,5.0,8.0
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tonsillectomy/Adenoidectomy,94.0,23.0,15.1,36.6
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Uterine Surgery,315.0,219.0,22.6,48.5
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vaginal Repair,36.0,10.0,26.9,28.8
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Varicose Veins Ligation/Stripping,319.0,34.0,44.9,71.2
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Bypass Graft - Non Cardiac,10.0,33.0,2.1,9.3
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Surgery - Other,32.0,19.0,5.0,21.1
2025/26,Q1,Fraser,Abbotsford Regional Hospital and Cancer Centre,Wound/Laceration Care,14.0,11.0,3.3,31.3
2025/26,Q1,Fraser,All Facilities,Abdominoplasty,33.0,18.0,12.1,35.7
2025/26,Q1,Fraser,All Facilities,All Other Procedures,324.0,366.0,3.9,21.7
2025/26,Q1,Fraser,All Facilities,All Procedures,23034.0,20817.0,5.1,28.6
2025/26,Q1,Fraser,All Facilities,Aortic Aneurysm Repair,20.0,53.0,4.3,11.6
2025/26,Q1,Fraser,All Facilities,Appendectomy,23.0,38.0,4.4,13.1
2025/26,Q1,Fraser,All Facilities,Bariatric Surgery,5.0,,,
2025/26,Q1,Fraser,All Facilities,Biopsy in OR,28.0,93.0,2.0,5.1
2025/26,Q1,Fraser,All Facilities,Bladder Surgery,369.0,475.0,4.1,16.7
2025/26,Q1,Fraser,All Facilities,Bowel Resection,78.0,162.0,2.9,9.3
2025/26,Q1,Fraser,All Facilities,Breast Biopsy,57.0,169.0,2.9,6.7
2025/26,Q1,Fraser,All Facilities,Breast Reconstruction,103.0,124.0,3.1,25.9
2025/26,Q1,Fraser,All Facilities,Breast Reduction,736.0,310.0,8.1,49.3
2025/26,Q1,Fraser,All Facilities,Cataract Surgery,3795.0,6515.0,4.4,14.6
2025/26,Q1,Fraser,All Facilities,Cholecystectomy,452.0,590.0,4.7,19.3
2025/26,Q1,Fraser,All Facilities,Colostomy/Ileostomy,29.0,39.0,4.7,22.0
2025/26,Q1,Fraser,All Facilities,Cone Biopsy,7.0,21.0,3.9,10.7
2025/26,Q1,Fraser,All Facilities,Cranial Surgery,19.0,39.0,1.9,6.1
2025/26,Q1,Fraser,All Facilities,Cyst/Ganglion Removal,20.0,24.0,5.0,17.8
2025/26,Q1,Fraser,All Facilities,D&C and Related Surgery,491.0,638.0,4.9,19.6
2025/26,Q1,Fraser,All Facilities,Dental Surgery,305.0,223.0,11.1,32.8
2025/26,Q1,Fraser,All Facilities,Endarterectomy,29.0,69.0,2.0,6.8
2025/26,Q1,Fraser,All Facilities,Esophagectomy,,11.0,2.3,5.6
2025/26,Q1,Fraser,All Facilities,Examination Under Anaesthetic,129.0,140.0,5.0,19.9
2025/26,Q1,Fraser,All Facilities,Excision Gynecomastia,20.0,13.0,16.9,37.6
2025/26,Q1,Fraser,All Facilities,Excision Lesion/Tumour,182.0,177.0,3.4,14.4
2025/26,Q1,Fraser,All Facilities,Facial Bone Reconstruction,37.0,37.0,7.1,20.0
2025/26,Q1,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,379.0,290.0,9.0,34.1
2025/26,Q1,Fraser,All Facilities,Fistula Repair - Non Vascular,82.0,78.0,6.9,38.7
2025/26,Q1,Fraser,All Facilities,Foot/Ankle Surgery,143.0,59.0,26.3,40.3
2025/26,Q1,Fraser,All Facilities,Foreign Body Removal Surgery,6.0,9.0,1.1,3.3
2025/26,Q1,Fraser,All Facilities,Fracture Repair,44.0,146.0,0.4,4.4
2025/26,Q1,Fraser,All Facilities,Free Flap Graft,,7.0,0.6,19.5
2025/26,Q1,Fraser,All Facilities,Hand/Wrist Surgery,117.0,146.0,5.4,26.6
2025/26,Q1,Fraser,All Facilities,Hernia Repair - Abdominal,1134.0,1142.0,7.1,25.9
2025/26,Q1,Fraser,All Facilities,Hernia Repair - Hiatal,,27.0,1.7,3.1
2025/26,Q1,Fraser,All Facilities,Hip Replacement,1298.0,436.0,25.0,57.2
2025/26,Q1,Fraser,All Facilities,Kidney/Bladder Stone Removal,85.0,139.0,4.4,8.3
2025/26,Q1,Fraser,All Facilities,Knee - ACL Repair,194.0,157.0,6.3,23.5
2025/26,Q1,Fraser,All Facilities,Knee - Meniscectomy,89.0,90.0,9.1,30.9
2025/26,Q1,Fraser,All Facilities,Knee Arthroscopy,179.0,109.0,6.3,26.3
2025/26,Q1,Fraser,All Facilities,Knee Replacement,2967.0,879.0,28.6,53.9
2025/26,Q1,Fraser,All Facilities,Laparoscopy,69.0,70.0,5.1,27.5
2025/26,Q1,Fraser,All Facilities,Laparotomy,14.0,15.0,7.0,22.0
2025/26,Q1,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,591.0,234.0,13.3,42.9
2025/26,Q1,Fraser,All Facilities,Ligament Surgery,22.0,34.0,4.4,33.5
2025/26,Q1,Fraser,All Facilities,Lipectomy,,0.0,,
2025/26,Q1,Fraser,All Facilities,Lung Surgery,11.0,52.0,1.6,3.0
2025/26,Q1,Fraser,All Facilities,Male Reproductive Surgery,160.0,132.0,5.1,24.8
2025/26,Q1,Fraser,All Facilities,Mastectomy,82.0,272.0,2.7,4.8
2025/26,Q1,Fraser,All Facilities,Mastoidectomy,65.0,12.0,46.4,97.5
2025/26,Q1,Fraser,All Facilities,Myringotomy,195.0,102.0,9.0,34.8
2025/26,Q1,Fraser,All Facilities,Nasal Surgery,1311.0,392.0,26.8,58.3
2025/26,Q1,Fraser,All Facilities,Nerve Surgery,34.0,44.0,3.9,14.9
2025/26,Q1,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,14.0,7.0,4.3,11.0
2025/26,Q1,Fraser,All Facilities,Other Ear Surgery,17.0,15.0,8.4,44.8
2025/26,Q1,Fraser,All Facilities,Other Eye Surgery,299.0,407.0,2.7,21.6
2025/26,Q1,Fraser,All Facilities,Other Joint Reconstruction,233.0,131.0,7.6,34.9
2025/26,Q1,Fraser,All Facilities,Other Orthopaedic Surgery,329.0,337.0,4.0,31.1
2025/26,Q1,Fraser,All Facilities,Other Urology Surgery,280.0,579.0,4.0,10.9
2025/26,Q1,Fraser,All Facilities,Parotidectomy,54.0,24.0,6.0,34.9
2025/26,Q1,Fraser,All Facilities,Prostate Surgery,319.0,448.0,5.3,15.6
2025/26,Q1,Fraser,All Facilities,Rectal Surgery,163.0,190.0,4.6,26.6
2025/26,Q1,Fraser,All Facilities,Rib Resection,26.0,5.0,8.1,19.7
2025/26,Q1,Fraser,All Facilities,Scope of Chest,,10.0,1.4,5.6
2025/26,Q1,Fraser,All Facilities,Shoulder Surgery,288.0,245.0,5.9,23.9
2025/26,Q1,Fraser,All Facilities,Sinus Surgery,391.0,136.0,24.1,59.7
2025/26,Q1,Fraser,All Facilities,Skin Surgery,65.0,58.0,2.3,15.9
2025/26,Q1,Fraser,All Facilities,Skin Tumour Removal,245.0,377.0,2.9,17.0
2025/26,Q1,Fraser,All Facilities,Sphincterotomy,13.0,10.0,7.9,42.1
2025/26,Q1,Fraser,All Facilities,Spinal/Back Surgery,282.0,161.0,4.4,15.0
2025/26,Q1,Fraser,All Facilities,Tendon Surgery,51.0,67.0,2.1,15.3
2025/26,Q1,Fraser,All Facilities,Thyroidectomy,113.0,115.0,4.3,21.7
2025/26,Q1,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,676.0,244.0,17.1,45.1
2025/26,Q1,Fraser,All Facilities,Tympanoplasty,161.0,48.0,38.5,90.5
2025/26,Q1,Fraser,All Facilities,Uterine Surgery,1390.0,1251.0,12.3,38.1
2025/26,Q1,Fraser,All Facilities,Vaginal Repair,260.0,135.0,15.6,35.3
2025/26,Q1,Fraser,All Facilities,Varicose Veins Ligation/Stripping,554.0,121.0,11.7,62.9
2025/26,Q1,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,17.0,40.0,2.2,14.3
2025/26,Q1,Fraser,All Facilities,Vascular Surgery - Other,76.0,97.0,3.6,14.3
2025/26,Q1,Fraser,All Facilities,Wound/Laceration Care,141.0,128.0,5.5,23.0
2025/26,Q1,Fraser,Burnaby Hospital,All Other Procedures,64.0,52.0,6.7,43.4
2025/26,Q1,Fraser,Burnaby Hospital,All Procedures,3666.0,2369.0,7.9,45.4
2025/26,Q1,Fraser,Burnaby Hospital,Appendectomy,7.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Bariatric Surgery,5.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Biopsy in OR,,,,
2025/26,Q1,Fraser,Burnaby Hospital,Bladder Surgery,39.0,72.0,3.0,11.5
2025/26,Q1,Fraser,Burnaby Hospital,Bowel Resection,13.0,14.0,3.5,7.9
2025/26,Q1,Fraser,Burnaby Hospital,Breast Reconstruction,18.0,7.0,14.9,38.8
2025/26,Q1,Fraser,Burnaby Hospital,Breast Reduction,136.0,35.0,37.7,79.4
2025/26,Q1,Fraser,Burnaby Hospital,Cataract Surgery,467.0,720.0,6.0,14.0
2025/26,Q1,Fraser,Burnaby Hospital,Cholecystectomy,102.0,52.0,13.1,39.7
2025/26,Q1,Fraser,Burnaby Hospital,Colostomy/Ileostomy,,5.0,2.7,10.4
2025/26,Q1,Fraser,Burnaby Hospital,Cyst/Ganglion Removal,,5.0,9.6,44.7
2025/26,Q1,Fraser,Burnaby Hospital,D&C and Related Surgery,58.0,74.0,4.7,22.6
2025/26,Q1,Fraser,Burnaby Hospital,Dental Surgery,,0.0,,
2025/26,Q1,Fraser,Burnaby Hospital,Examination Under Anaesthetic,9.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Excision Gynecomastia,5.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Excision Lesion/Tumour,16.0,13.0,4.1,28.2
2025/26,Q1,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,27.0,36.0,4.6,31.7
2025/26,Q1,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,22.0,29.0,13.3,32.0
2025/26,Q1,Fraser,Burnaby Hospital,Foot/Ankle Surgery,,6.0,3.6,4.7
2025/26,Q1,Fraser,Burnaby Hospital,Fracture Repair,,5.0,0.9,8.3
2025/26,Q1,Fraser,Burnaby Hospital,Hand/Wrist Surgery,15.0,12.0,28.0,61.2
2025/26,Q1,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,235.0,153.0,18.0,41.9
2025/26,Q1,Fraser,Burnaby Hospital,Hip Replacement,323.0,69.0,39.7,64.2
2025/26,Q1,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,10.0,23.0,4.4,7.7
2025/26,Q1,Fraser,Burnaby Hospital,Knee - ACL Repair,14.0,12.0,6.5,11.1
2025/26,Q1,Fraser,Burnaby Hospital,Knee - Meniscectomy,17.0,25.0,7.9,18.0
2025/26,Q1,Fraser,Burnaby Hospital,Knee Arthroscopy,14.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Knee Replacement,648.0,170.0,29.4,59.6
2025/26,Q1,Fraser,Burnaby Hospital,Laparoscopy,,,,
2025/26,Q1,Fraser,Burnaby Hospital,Laparotomy,,,,
2025/26,Q1,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,5.0,7.0,3.0,23.4
2025/26,Q1,Fraser,Burnaby Hospital,Ligament Surgery,,0.0,,
2025/26,Q1,Fraser,Burnaby Hospital,Lipectomy,,0.0,,
2025/26,Q1,Fraser,Burnaby Hospital,Male Reproductive Surgery,,15.0,3.7,8.4
2025/26,Q1,Fraser,Burnaby Hospital,Mastectomy,5.0,8.0,4.3,7.7
2025/26,Q1,Fraser,Burnaby Hospital,Myringotomy,,,,
2025/26,Q1,Fraser,Burnaby Hospital,Nasal Surgery,551.0,128.0,38.6,81.8
2025/26,Q1,Fraser,Burnaby Hospital,Nerve Surgery,9.0,7.0,6.4,17.3
2025/26,Q1,Fraser,Burnaby Hospital,Oral Cavity & Pharynx Surgery,5.0,0.0,,
2025/26,Q1,Fraser,Burnaby Hospital,Other Eye Surgery,94.0,68.0,4.9,38.1
2025/26,Q1,Fraser,Burnaby Hospital,Other Joint Reconstruction,8.0,21.0,5.0,12.4
2025/26,Q1,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,22.0,38.0,5.3,17.5
2025/26,Q1,Fraser,Burnaby Hospital,Other Urology Surgery,18.0,63.0,3.6,6.6
2025/26,Q1,Fraser,Burnaby Hospital,Parotidectomy,25.0,,,
2025/26,Q1,Fraser,Burnaby Hospital,Prostate Surgery,34.0,80.0,4.0,17.1
2025/26,Q1,Fraser,Burnaby Hospital,Rectal Surgery,39.0,28.0,17.2,43.5
2025/26,Q1,Fraser,Burnaby Hospital,Shoulder Surgery,24.0,34.0,6.9,18.2
2025/26,Q1,Fraser,Burnaby Hospital,Sinus Surgery,242.0,58.0,37.2,72.6
